source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Catacombs of Paris Subterranean Network,MultiPolygon,City of Paris,Polygon,"The massive, labyrinthine subterranean ossuary tunnels are completely boxed in by the sprawling surface municipal grid.",topological,within,A complex subterranean infrastructure multi-polygon entirely bounded by a surface city polygon.,Level 4
Mauna Loa Magma Chamber,Polygon,State of Hawaii,Polygon,"The massive, active subterranean geological anomaly fueling the island's growth is perfectly encapsulated by the administrative state bounds.",topological,within,A massive subterranean geological polygon completely enclosed by a state polygon.,Level 4
Sovereign Military Order of Malta Magistral Villa,Polygon,Republic of Italy,Polygon,The extraterritorial estate located on the Aventine Hill is completely encircled by the sovereign borders.,topological,within,An extraterritorial legal estate completely bounded by a sovereign nation.,Level 4
United Nations Headquarters,Polygon,Borough of Manhattan,Polygon,"Despite its international diplomatic status, the physical real estate sits entirely confined inside the municipal borders of the massive urban grid.",topological,within,An international legal polygon physically completely confined inside a city borough polygon.,Level 5
Kingdom of Lesotho,Polygon,South African Borders,Polygon,"The independent kingdom sits strictly confined by the surrounding borders of the massive host nation, unable to access the ocean.",topological,within,An independent nation polygon completely confined by another nation's polygon.,Level 5
Camp David,Polygon,Catoctin Mountain Park,Polygon,"The highly secure, restricted perimeter of the Presidential retreat is completely hidden and locked deep inside the forested boundaries of the public federal preserve in Maryland.",topological,within,"A classified, restricted federal polygon fully bounded by a public federal park polygon.",Level 5
Mariana Trench,Polygon,Pacific Ocean,Polygon,"The massive, crescent-shaped geomorphic scar on the crust is completely blanketed and enveloped by the vast oceanic waters.",topological,within,A deep oceanic trench entirely boxed in by a massive ocean polygon.,Level 5
Rub' al Khali Desert,Polygon,Kingdom of Saudi Arabia,Polygon,The largest continuous sand desert in the world is completely bound by the massive national borders.,topological,within,An extreme environmental desert polygon entirely enveloped by a massive nation polygon.,Level 5
Dutch Baarle-Nassau Enclave N8,Polygon,Belgian Baarle-Hertog Enclave H22,Polygon,"The smaller Dutch micro-territory is completely encircled by the complex cadastral borders of the Belgian micro-territory, isolating it entirely.",topological,within,A second-order geopolitical anomaly where a sub-enclave is completely enveloped by an enclave.,Level 5
Dahala Khagrabari,Polygon,Cooch Behar District,Polygon,"Prior to the treaty, the infamous third-order enclave was completely hosted geometrically by the massive Indian district.",topological,within,A third-order historical enclave entirely bound by a macro-administrative district.,Level 5
Mediterranean Deep Brine Pool,Polygon,Mediterranean Sea Volume,Polygon,"The hyper-saline, anoxic underwater lake resting perfectly at the bottom of the basin is completely encapsulated by the massive saltwater body.",topological,within,An extreme underwater brine pool polygon completely bounded by a massive sea volumetric polygon.,Level 5
Inner Temple Legal Precinct,Polygon,City of London Corporation,Polygon,"The independently administered, extra-parochial legal area is completely enveloped by the ancient financial district.",topological,within,An extra-parochial legal polygon entirely bounded by a historic municipal polygon.,Level 5
Vesuvius Main Crater,Polygon,Mount Vesuvius Volcanic Cone,Polygon,"The massive, steep-walled depression resting exactly at the summit is perfectly encircled by the towering geological structure.",topological,within,A summit crater polygon completely bounded by a massive volcanic cone polygon.,Level 5
Challenger Deep,Polygon,Mariana Trench Geomorphic Bounds,Polygon,The deepest known coordinate node on the planetary crust is completely trapped by the colossal oceanic trench.,topological,within,The deepest oceanic depression polygon entirely enveloped by a massive geomorphic trench polygon.,Level 5
Lake Vostok Subglacial Volume,Polygon,Antarctic Ice Sheet,Polygon,"The massive, ancient freshwater body trapped deep under the ice is completely encapsulated by the miles-thick frozen mantle.",topological,within,A subterranean subglacial lake polygon completely bounded by a massive glacial polygon.,Level 5
Sovereign Borders of The Gambia,Polygon,Sovereign Borders of Senegal,Polygon,The slender anglophone diplomatic footprint is completely surrounded on every terrestrial axis by the francophone diplomatic footprint.,topological,within,A national legal polygon completely enveloped by another national legal polygon.,Level 5
Mount Titano Summit,Polygon,Republic of San Marino,Polygon,The towering limestone peak that serves as the physical foundation is entirely encircled by the ancient microstate.,topological,within,A towering geological peak polygon completely bounded by a sovereign micro-state polygon.,Level 5
St. Peter's Basilica Footprint,Polygon,Vatican City Jurisdiction,Polygon,The massive architectural footprint of the iconic Renaissance church is completely boxed in by the sovereign legal limits of the microstate.,topological,within,A massive architectural polygon completely enveloped by a sovereign legal polygon.,Level 5
Point Nemo Mathematical Isolation Zone,Polygon,Pacific Ocean Maritime Bounds,Polygon,The theoretical mathematical area designated as the oceanic pole of inaccessibility is completely encircled by the massive oceanic coordinates.,topological,within,An abstract mathematical isolation zone completely bounded by a massive oceanic polygon.,Level 5
Death Valley Below-Sea-Level Basin,Polygon,State of California,Polygon,The extreme geological depression marking the lowest elevation on the continent is completely trapped by the massive state geometry.,topological,within,An extreme below-sea-level geological polygon completely enclosed by a state polygon.,Level 5
Easter Island Landmass,Polygon,Republic of Chile Maritime Claims,Polygon,The isolated volcanic rock located deep in the southeastern Pacific is completely wrapped by the sovereign maritime claims of the Andean nation.,topological,within,"A remote, isolated island polygon completely bounded by a national maritime claim.",Level 5
Ashmore and Cartier Islands,MultiPolygon,Commonwealth of Australia Maritime Bounds,Polygon,The uninhabited external territories situated in the Indian Ocean are completely encircled by the massive national maritime borders.,topological,within,A remote external territory entirely bounded by a national maritime polygon.,Level 5
King's Chamber Subterranean Volume,Polygon,Great Pyramid Perimeter,Polygon,The architectural chamber engineered deep in the center is absolutely surrounded by the monumental square masonry footprint of the ancient wonder.,topological,within,An interior 3D architectural polygon entirely enveloped by a monumental surface polygon.,Level 5
